,chords_numeric
258,"[1, 5, 2, 4]"
314,"[1, 5, 6, 5, 5, 1, 5, 6, 5, 5, 1, 5, 6, 5, 5, 1, 5, 6, 5, 5]"
69,"[5, 6, 4]"
143,"[1, 3, 1, 3, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 5]"
536,"[5, 4, 1, 5, 5, 4, 1, 5]"
174,"[1, 5, 5, 5, 5, 5, 5, 5, 1, 4, 1, 5, 1]"
325,"[1, 6, 5, 4, 1, 1, 6, 5, 4, 1]"
446,"[1, 6, 4, 5, 1]"
556,"[4, 4, 3, 6, 2, 5, 1, 6, 1, 4, 4, 3, 6, 2, 5, 1]"
420,"[1, 5, 1, 4, 3, 1, 1, 5, 1]"
381,"[3, 5, 1, 5, 1, 3, 5, 1, 3, 5, 1, 3, 3, 1, 2, 5]"
414,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
403,"[1, 4, 6, 4, 1]"
72,"[1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5]"
361,"[1, 1, 6, 4, 1, 4, 6, 4, 1, 4, 6, 4, 1, 5, 1]"
308,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4, 5, 1, 4, 6, 5, 4, 4]"
261,"[6, 5, 1, 4, 1, 5, 6, 5, 1, 4, 1, 5]"
336,"[1, 2, 6, 6, 6, 6, 6, 6, 1, 2, 6, 6, 6, 6, 6, 6, 1, 2, 6, 6, 6, 6, 6, 6, 1, 2, 6, 6, 6, 6, 6, 6]"
225,"[5, 3, 1, 5]"
566,"[1, 5, 6, 4, 1, 5, 6, 4]"
165,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
22,"[1, 6, 2, 4, 5, 1, 6, 2, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
334,"[4, 4, 5, 6, 4, 5, 2, 4]"
434,"[3, 5, 3, 5, 1, 1, 1, 5, 1, 1, 1, 5]"
240,"[1, 1, 4, 5, 1, 1, 4, 5]"
195,"[2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 1]"
285,"[6, 4, 1, 5, 1]"
30,"[4, 1, 5, 6, 4, 1, 5, 4, 1, 5, 6, 4, 1, 5]"
35,"[1, 3, 6, 4, 1, 5, 4, 5, 6, 4, 1, 5, 1, 4, 5, 6, 4, 1, 5, 1]"
32,"[3, 1, 3, 1, 3, 5, 3, 5, 2, 5]"
392,"[4, 1, 4, 1, 4, 1, 4, 1, 4]"
401,"[1, 4, 6, 4, 1, 1, 4, 6, 4, 1]"
65,"[1, 1, 6, 4, 1, 1, 6, 4, 1, 1, 6, 4]"
540,"[1, 5, 4, 4]"
145,"[1, 5, 6, 6, 4, 4, 1, 5, 4, 1, 2, 1, 1, 5, 6, 6, 4, 4, 1, 5, 4, 1, 2, 1]"
71,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
353,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
275,"[1, 3, 6, 3, 1, 3, 6, 3, 1, 3, 6, 3, 1, 3, 6, 3]"
472,"[4, 5]"
0,"[1, 6, 1, 6]"
539,"[6, 1, 1, 4, 5, 6, 1, 1, 4, 5, 6, 1, 4, 4, 5, 6, 1, 1, 4, 5, 6, 1, 1, 4, 5, 6, 1, 4, 4, 5, 6, 1, 1, 4, 5, 6, 1, 1, 4, 5, 6]"
391,"[1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4]"
229,"[6, 1, 5, 4, 6, 1, 5, 4, 4]"
553,"[1, 2, 3]"
46,"[4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
98,"[1, 2, 4, 2, 5, 2, 4, 2, 1, 2, 4, 2, 1, 2, 4, 2]"
33,"[1, 3, 6, 4, 1, 5, 4, 5, 6, 4, 1, 5, 1]"
322,"[1, 5, 6, 4]"
523,"[4, 5, 1, 5, 4, 5, 1, 1, 4, 5, 1, 3, 4, 4, 3, 5]"
357,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
496,"[6, 2, 4, 5, 6, 2, 4, 5]"
290,[1]
6,"[4, 6, 4, 1, 5, 1, 6, 1, 6]"
352,"[6, 6, 6, 4, 1, 5]"
257,"[1, 5, 2, 4, 1, 5, 2, 4, 1]"
484,"[1, 2, 4, 1, 1, 2, 4, 1]"
107,"[1, 5, 6, 4]"
433,"[3, 1, 5, 3, 1, 5, 3, 1, 5, 1, 3, 5, 3, 5]"
123,"[6, 1, 5, 4, 6, 1, 5, 2, 6, 1, 5, 4, 2, 1, 4]"
208,"[6, 4, 1, 6, 4, 1, 5, 6, 4, 1, 7, 6, 4, 1]"
411,"[6, 1, 6, 1, 6, 1, 1, 6, 4]"
387,"[1, 5, 2, 4]"
39,"[1, 5, 6, 4]"
347,"[6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2, 4]"
109,"[1, 5, 6, 4, 5, 1]"
358,"[1, 1, 6, 4, 1, 1, 6, 4, 1, 4, 6, 4, 1, 5, 1]"
70,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
153,"[6, 4, 5, 1, 6, 4, 5, 1, 6]"
473,"[1, 1, 4, 1, 1, 4, 1, 1, 4]"
112,"[6, 4, 1, 5, 6, 4, 1, 5]"
410,"[1, 1, 4, 1, 5, 4, 1, 1, 4, 1, 1, 4]"
139,"[1, 6, 1, 6, 5, 1, 6, 1, 6, 1]"
24,"[4, 1, 5, 6, 4, 1, 5, 4, 1, 5, 6, 4, 1, 5]"
438,[3]
302,"[1, 3, 4, 5, 1, 3, 4, 5, 6, 1, 4, 3, 2, 4, 5, 5]"
196,"[2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 2, 4, 5, 1]"
382,"[5, 3, 1, 5, 1, 5, 3, 1, 5, 4]"
291,"[1, 5, 4, 1, 1, 5, 4, 1]"
477,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4, 5]"
142,"[4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 6, 5]"
43,"[1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
348,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6]"
81,"[1, 5, 6, 4]"
564,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4]"
128,"[2, 6, 1, 5, 2, 6, 1, 5, 2, 6, 1, 5, 2, 1, 4, 5]"
42,"[1, 5, 6, 4, 1, 5, 6, 4]"
116,"[4, 5, 1, 5, 4, 5, 1, 5, 4, 5, 1, 5, 4, 5]"
394,"[1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 6, 5, 4, 1]"
370,"[1, 5, 6, 2, 4, 6, 5, 1, 5, 6, 2, 4, 6, 4, 5, 6, 2, 6, 2, 4, 1, 2, 4, 5, 1, 5, 6, 2, 5, 1, 5, 6, 4, 5, 1]"
306,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4, 5, 1, 4, 6, 5, 4, 4]"
168,"[1, 4, 1, 1, 5, 6, 4, 1, 4, 1]"
84,"[4, 5, 2, 1, 5, 4, 2, 1]"
