,hits
258,8326233
314,7649173
69,15321637
143,10989905
536,5704369
174,9757495
325,7473454
446,6033579
556,5531601
420,6450291
381,6798515
414,6462015
403,6566878
72,15318726
361,7036015
308,7668715
261,8171091
336,7449320
225,9141478
566,5474740
165,10152317
22,26735189
334,7454134
434,6121339
240,8736813
195,9344416
285,7775849
30,26620320
35,23561938
32,23561938
392,6732994
401,6566878
65,15321637
540,5692401
145,10898571
71,15321637
353,7051131
275,8065138
472,5943964
0,33639575
539,5704369
391,6743447
229,8939782
553,5531601
46,19031572
98,13405161
33,23561938
322,7540816
523,5737593
357,7051131
496,5796650
290,7732483
6,33639575
352,7051131
257,8326233
484,5912485
107,12202466
433,6121339
123,11771719
208,9288120
411,6505213
387,6743447
39,21436432
347,7420947
109,12202466
358,7036015
70,15321637
153,10849595
473,5943964
112,12202466
410,6505213
139,10989905
24,26620320
438,6121339
302,7715963
196,9344416
382,6798515
291,7732483
477,5918192
142,10989905
43,19031572
348,7420947
81,15193976
564,5488659
128,11771719
42,21436432
116,12108008
394,6732994
370,6862961
306,7668715
168,9963303
84,14665811
269,8141959
501,5770039
502,5770039
280,8042391
320,7540816
541,5692401
247,8597059
340,7449320
73,15318726
439,6085436
68,15321637
157,10849595
36,21436432
563,5488659
124,11771719
469,5943964
182,9723516
468,5943964
27,26620320
310,7668715
156,10849595
211,9255530
287,7775849
362,7036015
150,10898571
344,7420947
166,10152317
346,7420947
442,6085436
58,15701107
565,5474740
431,6121339
443,6085436
194,9344416
383,6798515
186,9684083
423,6450291
20,26735189
245,8736813
219,9161787
4,33639575
147,10898571
435,6121339
236,8859650
515,5758425
160,10168289
561,5488659
120,12108008
365,6918049
131,11148968
191,9684083
99,12229537
140,10989905
264,8171091
416,6462015
417,6462015
551,5613667
243,8736813
532,5731207
396,6732994
374,6862961
95,13405161
189,9684083
545,5692401
177,9757495
272,8065138
190,9684083
210,9255530
152,10849595
483,5912485
360,7036015
110,12202466
309,7668715
405,6566878
249,8597059
172,9963303
350,7216614
533,5704369
378,6862961
88,14257116
19,26735189
462,5974884
180,9723516
529,5731207
154,10849595
444,6085436
92,13405161
356,7051131
93,13405161
256,8326233
375,6862961
204,9288120
427,6144319
547,5692401
569,5474740
37,21436432
316,7649173
201,9298720
127,11771719
418,6462015
244,8736813
48,16004145
448,6033579
205,9288120
413,6505213
366,6918049
141,10989905
255,8326233
498,5787611
184,9723516
535,5704369
203,9288120
115,12108008
246,8736813
419,6462015
480,5912485
230,8939782
179,9757495
297,7732483
2,33639575
454,5996177
188,9684083
47,19031572
548,5613667
557,5531601
10,29581132
324,7540816
163,10152317
408,6505213
55,15701107
445,6085436
429,6144319
354,7051131
326,7473454
458,5996177
176,9757495
277,8065138
104,12229537
464,5974884
267,8141959
26,26620320
171,9963303
132,11148968
486,5816456
212,9255530
259,8326233
227,9141478
449,6033579
239,8859650
342,7420947
516,5758425
50,16004145
337,7449320
76,15318726
497,5787611
122,11771719
373,6862961
380,6862961
226,9141478
368,6918049
82,15193976
113,12202466
94,13405161
294,7732483
148,10898571
74,15318726
436,6121339
399,6732994
53,16004145
192,9684083
67,15321637
279,8042391
332,7454134
402,6566878
397,6732994
558,5531601
59,15701107
441,6085436
425,6144319
288,7775849
388,6743447
495,5796650
86,14665811
75,15318726
31,23561938
476,5918192
518,5737593
560,5531601
286,7775849
450,6033579
134,11148968
169,9963303
213,9255530
364,7036015
512,5763390
549,5613667
517,5758425
452,6033579
341,7420947
235,8939782
250,8597059
278,8042391
525,5737593
339,7449320
307,7668715
398,6732994
15,29581132
478,5918192
385,6743447
96,13405161
466,5974884
453,6033579
317,7540816
252,8597059
440,6085436
284,8042391
262,8171091
421,6450291
126,11771719
331,7454134
23,26620320
40,21436432
461,5996177
159,10168289
103,12229537
305,7668715
181,9723516
57,15701107
329,7473454
384,6798515
407,6566878
130,11148968
371,6862961
144,10898571
206,9288120
41,21436432
45,19031572
254,8326233
60,15701107
521,5737593
349,7420947
554,5531601
437,6121339
44,19031572
482,5912485
470,5943964
293,7732483
527,5731207
242,8736813
528,5731207
296,7732483
430,6144319
432,6121339
355,7051131
276,8065138
313,7649173
312,7649173
238,8859650
543,5692401
333,7454134
80,15193976
251,8597059
232,8939782
463,5974884
511,5763390
393,6732994
63,15628061
263,8171091
457,5996177
318,7540816
207,9288120
221,9161787
507,5763390
197,9298720
220,9161787
78,15193976
537,5704369
18,26735189
465,5974884
266,8141959
376,6862961
268,8141959
492,5796650
415,6462015
351,7216614
550,5613667
330,7454134
345,7420947
17,26735189
161,10168289
487,5816456
490,5816456
274,8065138
281,8042391
260,8171091
119,12108008
97,13405161
62,15628061
304,7715963
146,10898571
198,9298720
79,15193976
253,8326233
504,5770039
534,5704369
248,8597059
117,12108008
568,5474740
282,8042391
451,6033579
265,8141959
303,7715963
524,5737593
455,5996177
456,5996177
121,12108008
77,15193976
526,5731207
400,6566878
106,12229537
61,15628061
506,5770039
343,7420947
422,6450291
193,9684083
34,23561938
363,7036015
481,5912485
3,33639575
273,8065138
289,7775849
85,14665811
328,7473454
209,9288120
327,7473454
460,5996177
424,6144319
178,9757495
491,5816456
514,5758425
519,5737593
215,9255530
1,33639575
488,5816456
234,8939782
404,6566878
111,12202466
426,6144319
299,7715963
167,9963303
91,14257116
222,9161787
500,5770039
479,5918192
241,8736813
270,8141959
202,9298720
224,9141478
237,8859650
562,5488659
530,5731207
89,14257116
467,5974884
137,10989905
